BMW 3-Series 1998|2835|33|290000|1998|59|1900|0|левый руль|пробег по РФ|б/у|BMW 3-Series 1998 в Перми, бензин, Продается красивый бумер в достойном состоянии, 1.9 литра, седан, механическая коробка передач
БМВ 3 серии 2012|2835|33|900000|2012|74|2000|0|левый руль|пробег по РФ|б/у|Продажа БМВ 3 серии 2012 в Челябинске, 2 литра, седан, акпп, с пробегом, с пробегом 151000 км, обмен на более дешевую, Эксклюзивный цвет, суровый вид, притягивающий взгляды
BMW 3-Series 2017|2835|33|1650000|2017|23|2000|0|левый руль|пробег по РФ|б/у|Продажа БМВ 3 серии 2017 года в Сочи, седан, 2л., черный, автоматическая коробка, Отличное состояние, один собственник, обмен возможен на хонду аккорд, кросстур
БМВ 3 серии 2008|2835|33|459000|2008|66|2500|0|левый руль|пробег по РФ|б/у|Продажа БМВ 3 серии 2008 года в Екатеринбурге, черный, Модель: 3-Series, седан, с пробегом, автоматическая коробка передач, дилер Автоцентр "Вольф", с пробегом 149163 км, 2.5л., бензиновый двигатель
БМВ 3 серии 2009|2835|33|620000|2009|61|2000|0|левый руль|пробег по РФ|б/у|Купить БМВ 3 серии 2009 в Ростове-на-Дону, 2 литра, цвет черный, б/у, бензин, Автомобиль в отличном состоянии, без дтп, заводская краска, пробег родной, седан, акпп
BMW 3-Series 2001|2835|33|350000|2001|86|2500|0|левый руль|пробег по РФ|б/у|Продажа автомобиля БМВ 3 серии 2001 года в Нижневартовске, черный, седан, 2.5 литра, механическая коробка передач, В хорошем состоянии, АКПП, полный привод, цена 350000рублей
БМВ 3 серии 1995|2835|33|220000|1995|3|1800|0|левый руль|пробег по РФ|б/у|Продам БМВ 3 серии 1995 в Улан-Удэ, 1.8 литра, бензин, хэтчбек 5 дв., обмен на более дорогую, на равноценную, Машина в отличном техническом состоянии, пробег 310 тысяч км
БМВ 3 серии 2008|2835|33|600000|2008|23|2500|0|левый руль|пробег по РФ|б/у|BMW 3-Series 2008 в Краснодаре, бензин, с пробегом 209 тысяч км, Автомобиль в отличном состоянии, 2.5 литра, седан, б/у, автомат
БМВ 3 серии 2002|2835|33|250000|2002|86|2000|0|левый руль|пробег по РФ|б/у|Купить BMW 3-Series 2002 в Сургуте, универсал, б/у, дизель, Продам бмв, за машину не стыдно все вопросы по телефону
BMW 3-Series 2002|2835|33|450000|2002|38|2200|0|левый руль|пробег по РФ|б/у|БМВ 3 серии 2002 в Ангарске, АКПП, 2.2 литра, седан, Продам бмв в хорошем состоянии, бензин
BMW 3-Series 1997|2835|33|110000|1997|19|1600|0|левый руль|пробег по РФ|б/у|BMW 3-Series 1997 года в Абакане, бу, купе, меняю на более дешевую, механика, Авто в рабочем состоянии - едет, тормозит, электрика в порядке, стоимость 110тысяч рублей, 1.6л.
BMW 3-Series 2007|2835|33|499000|2007|24|2000|0|левый руль|пробег по РФ|б/у|BMW 3-Series 2007 год в Красноярске, комплектация 320i AT, обмен Звонит по номеру 89130349502, привод задний, акпп, черный, 2 литра, седан, Звоните все покажу все расскажу, бензин, бу, с пробегом 290000 км
BMW 3-Series 2012|2835|33|949000|2012|78|2000|0|левый руль|пробег по РФ|б/у|Продажа БМВ 3 серии 2012 года в Санкт-Петербурге, дизель, седан, Проведена комплексная диагностика, 2л., автоматическая коробка передач, б/у
BMW 3-Series 1993|2835|33|120000|1993|42|1600|0|левый руль|пробег по РФ|б/у|Продажа БМВ 3 серии 1993 в Кемерово, бензиновый, седан, комплектация 316i MT, мкпп, 1.6 литра
